# Enneagram scores.rnl versie 23 januari 2012. Copyright Sjoerd Harm Visser (sjoerd.h.visser@hccnet.nl).
# Sun in houses
0,1,0,43,0,62,0,67,1,23,1,05,0,91,1,65,1,96,0,47
0,2,0,56,1,21,0,54,1,13,0,84,0,58,2,04,1,01,1,09
0,3,0,86,1,48,0,21,1,32,1,05,0,56,2,10,0,65,0,77
0,4,1,15,1,01,1,07,1,42,1,31,1,38,0,68,0,63,0,35
0,5,0,93,0,58,0,88,1,33,1,22,0,80,1,28,0,82,1,16
0,6,1,22,0,23,0,72,0,82,1,82,1,62,1,00,0,27,1,32
0,7,1,15,0,70,0,19,0,65,1,28,2,00,0,70,0,35,1,99
0,8,1,74,1,71,1,11,0,89,0,60,0,38,0,25,0,89,1,43
0,9,1,50,0,94,1,17,0,38,0,63,1,24,1,00,0,71,1,43
0,10,1,02,1,63,1,77,0,89,0,82,1,12,0,46,0,58,0,72
0,11,0,94,0,82,1,44,0,91,0,85,0,91,0,74,1,50,0,89
0,12,0,57,0,56,1,61,1,17,0,94,0,61,0,42,2,49,0,62
# Moon in houses
1,1,1,19,0,47,1,00,1,03,1,03,1,13,1,54,1,23,0,39
1,2,1,04,1,00,0,67,0,75,1,25,1,16,1,05,0,99,1,09
1,3,0,75,0,78,0,87,0,94,1,19,1,25,1,15,0,78,1,29
1,4,0,83,0,94,1,20,0,88,0,91,1,06,0,95,0,92,1,31
1,5,1,17,0,90,0,74,1,09,1,22,1,00,1,05,1,20,0,63
1,6,0,61,1,11,0,83,1,49,0,86,0,79,0,32,1,43,1,57
1,7,0,99,1,18,0,80,0,72,0,80,1,40,1,30,0,99,0,82
1,8,0,78,1,21,1,48,0,77,0,64,0,76,0,86,1,45,1,06
1,9,0,96,1,30,0,97,1,38,0,76,0,86,0,54,0,89,1,34
1,10,1,31,1,11,0,67,0,94,1,01,1,25,1,15,0,68,0,89
1,11,1,22,0,91,1,49,0,42,1,31,0,56,1,20,0,67,1,21
1,12,1,13,1,05,1,35,1,59,1,05,0,69,0,87,0,83,0,44
# Mercury in houses
2,1,0,49,0,27,0,82,1,19,0,90,1,09,1,21,2,38,0,66
2,2,0,64,1,08,0,63,0,96,1,08,0,40,2,51,0,88,0,82
2,3,0,88,1,64,0,11,1,31,0,96,0,69,1,79,0,73,0,89
2,4,0,88,1,64,0,11,1,31,0,96,0,69,1,79,0,73,0,89
2,5,1,00,0,87,1,15,1,20,1,01,1,02,1,30,0,93,0,52
2,6,1,15,0,44,0,55,0,87,1,48,1,76,0,57,0,32,1,87
2,7,0,97,0,59,0,51,1,08,1,50,1,40,0,72,0,25,1,98
2,8,1,80,1,72,0,86,0,35,0,63,0,73,0,60,0,96,1,33
2,9,1,46,1,15,1,58,0,63,0,47,0,78,0,89,0,60,1,46
2,10,0,76,1,68,1,42,0,79,1,00,1,41,0,35,0,85,0,74
2,11,1,44,0,60,1,83,1,04,0,75,0,62,0,79,1,35,0,58
2,12,0,34,0,72,1,31,1,21,1,00,1,01,0,70,2,06,0,65
# Venus in houses
3,1,0,54,0,72,0,68,1,26,0,83,0,96,1,34,2,19,0,49
3,2,0,69,0,88,0,73,1,08,1,16,0,68,1,73,1,36,0,70
3,3,0,81,1,10,0,58,1,38,1,05,0,81,1,63,0,84,0,78
3,4,0,87,1,03,0,66,1,48,1,53,0,66,1,35,0,72,0,68
3,5,1,00,0,92,0,86,1,01,1,07,1,11,1,22,0,36,1,45
3,6,0,94,0,74,0,55,1,05,1,40,1,59,0,75,0,57,1,40
3,7,1,58,1,04,0,94,0,75,1,15,0,92,0,66,0,62,1,33
3,8,1,26,1,08,0,90,0,49,0,65,1,65,0,62,0,65,1,69
3,9,1,30,1,33,1,21,0,84,0,75,1,03,0,59,0,95,1,01
3,10,1,18,1,23,1,45,0,68,0,78,1,27,0,67,0,79,0,93
3,11,1,03,1,10,1,77,0,93,0,99,0,57,0,63,1,29,0,68
3,12,0,75,0,72,1,36,1,22,0,89,0,66,1,04,1,47,0,89
# Mars in houses
5,1,0,81,0,51,0,73,0,98,0,89,1,10,1,07,1,57,1,33
5,2,0,54,0,89,0,81,1,20,0,67,0,91,1,79,1,14,1,04
5,3,0,70,0,86,1,00,0,85,1,33,0,67,1,30,1,04,1,25
5,4,1,22,1,07,0,34,1,40,1,06,0,70,1,33,0,96,0,91
5,5,0,92,1,07,1,02,1,14,1,47,1,10,0,72,0,59,0,97
5,6,1,14,1,00,0,61,0,84,1,79,1,41,0,87,0,51,0,82
5,7,1,35,0,72,0,81,0,78,1,00,1,47,1,17,0,44,1,25
5,8,1,33,0,89,0,90,0,78,0,80,1,40,0,86,0,84,1,19
5,9,0,98,1,41,1,35,0,96,0,69,1,01,0,87,0,73,0,99
5,10,1,81,0,80,1,32,0,68,0,90,1,08,0,55,0,97,0,88
5,11,0,62,1,09,1,64,1,10,0,83,0,52,0,92,1,54,0,73
5,12,0,65,1,71,1,27,1,34,0,76,0,62,0,58,1,49,0,58
# Jupiter in houses
6,1,0,64,0,71,0,66,0,74,1,40,1,82,0,96,1,62,0,45
6,2,0,81,1,04,0,88,1,04,0,72,0,85,1,52,1,21,0,93
6,3,0,74,1,38,0,86,1,01,1,32,1,18,0,71,0,76,1,05
6,4,1,51,0,41,0,40,1,53,0,94,0,82,1,23,0,80,1,35
6,5,0,87,1,21,1,50,1,19,1,00,0,78,1,01,0,65,0,80
6,6,0,47,0,72,1,10,1,05,1,42,0,97,1,48,0,70,1,09
6,7,1,38,0,62,1,06,0,90,0,75,0,97,0,67,1,07,1,58
6,8,1,48,0,97,0,66,1,04,0,78,0,88,0,84,0,88,1,47
6,9,1,60,0,81,1,17,0,78,0,82,0,91,0,93,1,09,0,88
6,10,1,10,1,40,0,98,0,58,0,63,1,20,1,00,1,46,0,67
